Date : 2022-07-31 12:14:35
Directory : c:\Users\pc\Videos\FDYBoT_new
Total : 58 files,  4870 codes, 303 comments, 165 blanks, all 5338 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\pc\Videos\FDYBoT_new\dist\core\structure\Langs.js      | JavaScript         |          7 |          1 |          0 |          8 |
| c:\Users\pc\Videos\FDYBoT_new\dist\core\structure\Schema.js     | JavaScript         |         22 |          1 |          0 |         23 |
| c:\Users\pc\Videos\FDYBoT_new\dist\core\structure\Types.js      | JavaScript         |          3 |          1 |          0 |          4 |
| c:\Users\pc\Videos\FDYBoT_new\dist\index.js                     | JavaScript         |         70 |          5 |          0 |         75 |
| c:\Users\pc\Videos\FDYBoT_new\dist\package.json                 | JSON               |          9 |         33 |          0 |         42 |
| c:\Users\pc\Videos\FDYBoT_new\dist\plugins\basic\.plugin.json   | JSON               |          8 |          0 |          1 |          9 |
| c:\Users\pc\Videos\FDYBoT_new\dist\plugins\basic\src\index.js   | JavaScript         |        283 |         15 |          0 |        298 |
| c:\Users\pc\Videos\FDYBoT_new\dist\plugins\economy\.plugin.json | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\pc\Videos\FDYBoT_new\dist\plugins\economy\src\index.js | JavaScript         |         61 |          4 |          0 |         65 |
| c:\Users\pc\Videos\FDYBoT_new\dist\plugins\fun\.plugin.json     | JSON               |          7 |          0 |          1 |          8 |
| c:\Users\pc\Videos\FDYBoT_new\dist\plugins\fun\src\index.js     | JavaScript         |        411 |         10 |          0 |        421 |
| c:\Users\pc\Videos\FDYBoT_new\dist\services\ap.js               | JavaScript         |         35 |          1 |          0 |         36 |
| c:\Users\pc\Videos\FDYBoT_new\dist\services\helpCommand.js      | JavaScript         |         66 |         30 |          0 |         96 |
| c:\Users\pc\Videos\FDYBoT_new\dist\services\i18n.js             | JavaScript         |         31 |          1 |          0 |         32 |
| c:\Users\pc\Videos\FDYBoT_new\dist\services\inventory.js        | JavaScript         |         28 |          1 |          0 |         29 |
| c:\Users\pc\Videos\FDYBoT_new\dist\services\math.js             | JavaScript         |         31 |          1 |          0 |         32 |
| c:\Users\pc\Videos\FDYBoT_new\dist\services\random.js           | JavaScript         |          3 |          1 |          0 |          4 |
| c:\Users\pc\Videos\FDYBoT_new\dist\services\snowflake.js        | JavaScript         |         19 |          5 |          0 |         24 |
| c:\Users\pc\Videos\FDYBoT_new\package.json                      | JSON               |          9 |         30 |          0 |         39 |
| c:\Users\pc\Videos\FDYBoT_new\sb.json                           | JSON               |      1,926 |          0 |          1 |      1,927 |
| c:\Users\pc\Videos\FDYBoT_new\src\assets\bars.json              | JSON               |          8 |          0 |          1 |          9 |
| c:\Users\pc\Videos\FDYBoT_new\src\assets\lang\en.json           | JSON               |         15 |          0 |          1 |         16 |
| c:\Users\pc\Videos\FDYBoT_new\src\assets\lang\zh_cn.json        | JSON               |         14 |          0 |          0 |         14 |
| c:\Users\pc\Videos\FDYBoT_new\src\assets\lang\zh_tw.json        | JSON               |         14 |          0 |          1 |         15 |
| c:\Users\pc\Videos\FDYBoT_new\src\core\CommandHandler.ts        | TypeScript         |         59 |          0 |         11 |         70 |
| c:\Users\pc\Videos\FDYBoT_new\src\core\CommandManager.ts        | TypeScript         |         39 |          0 |          6 |         45 |
| c:\Users\pc\Videos\FDYBoT_new\src\core\Database.ts              | TypeScript         |         46 |          0 |          6 |         52 |
| c:\Users\pc\Videos\FDYBoT_new\src\core\PluginLoader.ts          | TypeScript         |         77 |          0 |          7 |         84 |
| c:\Users\pc\Videos\FDYBoT_new\src\core\structure\Schema.ts      | TypeScript         |         20 |          0 |          1 |         21 |
| c:\Users\pc\Videos\FDYBoT_new\src\core\structure\Types.ts       | TypeScript         |         32 |          0 |          5 |         37 |
| c:\Users\pc\Videos\FDYBoT_new\src\global.d.ts                   | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\pc\Videos\FDYBoT_new\src\index.ts                      | TypeScript         |         77 |          4 |         16 |         97 |
| c:\Users\pc\Videos\FDYBoT_new\src\plugins\basic\.plugin.json    | JSON               |          8 |          0 |          1 |          9 |
| c:\Users\pc\Videos\FDYBoT_new\src\plugins\basic\src\index.ts    | TypeScript         |        342 |         14 |         13 |        369 |
| c:\Users\pc\Videos\FDYBoT_new\src\plugins\economy\.plugin.json  | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\pc\Videos\FDYBoT_new\src\plugins\economy\src\index.ts  | TypeScript         |         57 |          3 |          8 |         68 |
| c:\Users\pc\Videos\FDYBoT_new\src\plugins\fun\.plugin.json      | JSON               |          7 |          0 |          1 |          8 |
| c:\Users\pc\Videos\FDYBoT_new\src\plugins\fun\src\index.js      | JavaScript         |        440 |          9 |         14 |        463 |
| c:\Users\pc\Videos\FDYBoT_new\src\services\ap.ts                | TypeScript         |         32 |          0 |          1 |         33 |
| c:\Users\pc\Videos\FDYBoT_new\src\services\helpCommand.js       | JavaScript         |         64 |         31 |          2 |         97 |
| c:\Users\pc\Videos\FDYBoT_new\src\services\i18n.ts              | TypeScript         |         25 |          0 |          6 |         31 |
| c:\Users\pc\Videos\FDYBoT_new\src\services\inventory.ts         | TypeScript         |         21 |          0 |          0 |         21 |
| c:\Users\pc\Videos\FDYBoT_new\src\services\math.ts              | TypeScript         |         20 |          0 |          8 |         28 |
| c:\Users\pc\Videos\FDYBoT_new\src\services\random.ts            | TypeScript         |          3 |          0 |          0 |          3 |
| c:\Users\pc\Videos\FDYBoT_new\src\services\snowflake.js         | JavaScript         |         19 |          4 |          8 |         31 |
| c:\Users\pc\Videos\FDYBoT_new\tsconfig.json                     | JSON with Comments |         19 |         75 |          9 |        103 |
| Total                                                           |                    |      4,870 |        303 |        165 |      5,338 |
+-----------------------------------------------------------------+--------------------+------------+------------+------------+------------+
